chargeDeviceID,reference,name,latitude,longitude,subBuildingName,buildingName,buildingNumber,thoroughfare,street,doubleDependantLocality,dependantLocality,town,county,postcode,countryCode,uprn,deviceDescription,locationShortDescription,locationLongDescription,deviceManufacturer,deviceModel,deviceOwnerName,deviceOwnerWebsite,deviceOwnerTelephoneNo,deviceOwnerContactName,deviceControllerName,deviceControllerWebsite,deviceControllerTelephoneNo,deviceControllerContactName,deviceNetworks,chargeDeviceStatus,publishStatus,deviceValidated,dateCreated,dateUpdated,moderated,lastUpdated,lastUpdatedBy,attribution,dateDeleted,paymentRequired,paymentRequiredDetails,subscriptionRequired,subscriptionRequiredDetails,parkingFeesFlag,parkingFeesDetails,parkingFeesUrl,accessRestrictionFlag,accessRestrictionDetails,physicalRestrictionFlag,physicalRestrictionText,onStreetFlag,locationType,bearing,access24Hours,accessMondayFrom,accessMondayTo,accessTuesdayFrom,accessTuesdayTo,accessWednesdayFrom,accessWednesdayTo,accessThursdayFrom,accessThursdayTo,accessFridayFrom,accessFridayTo,accessSaturdayFrom,accessSaturdayTo,accessSundayFrom,accessSundayTo,connector1ID,connector1Type,connector1RatedOutputKW,connector1OutputCurrent,connector1RatedVoltage,connector1ChargeMethod,connector1ChargeMode,connector1TetheredCable,connector1Status,connector1Description,connector1Validated,connector2ID,connector2Type,connector2RatedOutputKW,connector2OutputCurrent,connector2RatedVoltage,connector2ChargeMethod,connector2ChargeMode,connector2TetheredCable,connector2Status,connector2Description,connector2Validated,connector3ID,connector3Type,connector3RatedOutputKW,connector3OutputCurrent,connector3RatedVoltage,connector3ChargeMethod,connector3ChargeMode,connector3TetheredCable,connector3Status,connector3Description,connector3Validated,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110
9d8cc04d36560d8bb56054f8f9354138,CYC31149,Cross Lanes Organic Farm,54.519229,-1.923412,,,,Cross Lanes Organic Farm,Cross Lanes,Barnard Castle,Durham,Barnard Castle,County Durham,DL12 9SL,gb,,,Durham,Cross Lanes Organic Farm,,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,In service,Published,0,25-09-2013 13:40,0000-00-00 00:00:00,N,,,Charge Your Car,,1.0,,1.0,,0.0,,,0.0,,,,,Other,,,,,,,,,,,,,,,,,54163.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7f2ad3f771764a196184290da520760,CYC31150,Cross Lanes Organic Farm,54.519329,-1.923412,,,,Cross Lanes Organic Farm,Cross Lanes,Barnard Castle,Durham,Barnard Castle,County Durham,DL12 9SL,gb,,,Durham,Cross Lanes Organic Farm,,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,In service,Published,0,25-09-2013 13:40,0000-00-00 00:00:00,N,,,Charge Your Car,,1.0,,1.0,,0.0,,,0.0,,,,,Other,,,,,,,,,,,,,,,,,54164.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251b4805008712ec04e69c6569bfb189,CYC31151,Wylam Garage,54.97516,-2.105351,,,,Wylam Garage,,Burn Lane,Hexham,Hexham,Northumberland,NE46 3HN,gb,,,Hexham,Wylam Garage,,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,In service,Published,0,25-09-2013 13:40,0000-00-00 00:00:00,N,,,Charge Your Car,,1.0,,1.0,,0.0,,,0.0,,,,,Other,,,,,,,,,,,,,,,,,54165.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b16a9e8de58c95b427b29472b1eca130,CYC31152,Wylam Garage,54.975316,-2.105351,,,,Wylam Garage,,Burn Lane,Hexham,Hexham,Northumberland,NE46 3HN,gb,,,Hexham,Wylam Garage,,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,In service,Published,0,25-09-2013 13:40,0000-00-00 00:00:00,N,,,Charge Your Car,,1.0,,1.0,,0.0,,,0.0,,,,,Other,,,,,,,,,,,,,,,,,54166.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bab5a177611b396bd0a930cafb6b1c54,CYC31153,Wylam Garage,54.974522,-2.104816,,,,Wylam Garage,,Burn Lane,Hexham,Hexham,Northumberland,NE46 3HN,gb,,,Hexham,Wylam Garage,,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,In service,Published,0,25-09-2013 13:40,0000-00-00 00:00:00,N,,,Charge Your Car,,1.0,,1.0,,0.0,,,0.0,,,,,Other,,,,,,,,,,,,,,,,,54167.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33aaa7974a0a973e068c3c035e52d105,CYC31154,Wylam Garage,54.974622,-2.104816,,,,Wylam Garage,,Burn Lane,Hexham,Hexham,Northumberland,NE46 3HN,gb,,,Hexham,Wylam Garage,,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,In service,Published,0,25-09-2013 13:40,0000-00-00 00:00:00,N,,,Charge Your Car,,1.0,,1.0,,0.0,,,0.0,,,,,Other,,,,,,,,,,,,,,,,,54168.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635b616c7d29a7c2a118dc59a578d053,CYC31158,Bede's World,54.982257,-1.474649,,Jarrow Hall and Bede Museum,,Church Bank,,,Jarrow,Jarrow,Tyne and Wear,NE32 3DY,gb,,,Jarrow,Bede's World,,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,In service,Published,0,25-09-2013 13:40,08-12-2019 11:30,Y,08-12-2019 11:30,NCR Admin,Charge Your Car,,1.0,,1.0,,0.0,,,1.0,Parking for employees and visitors only ,0.0,,1.0,Other,,,,,,,,,,,,,,,,,54171.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,54172.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,
6f5e6653c2100f36ef017088363ea359,CYC31159,Thompson Street Car Park,54.570839,-1.31346,,,,Thompson Street Car Park,,,Stockton on Tees,Stockton-on-Tees,Stockton-on-Tees,TS18 2NY,gb,,,Stockton on Tees,Thompson Street Car Park,,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,In service,Published,0,25-09-2013 13:40,0000-00-00 00:00:00,N,,,Charge Your Car,,1.0,,1.0,,0.0,,,0.0,,,,,Other,,,,,,,,,,,,,,,,,54173.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78c58f11547724e65c6fde2ddc7dfdfc,CYC31160,Thompson Street Car Park,54.570939,-1.31326,,,,Thompson Street Car Park,,,Stockton on Tees,Stockton-on-Tees,Stockton-on-Tees,TS18 2NY,gb,,,Stockton on Tees,Thompson Street Car Park,,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,In service,Published,0,25-09-2013 13:40,0000-00-00 00:00:00,N,,,Charge Your Car,,1.0,,1.0,,0.0,,,0.0,,,,,Other,,,,,,,,,,,,,,,,,54174.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d34b265ec889c175e2a1ade81d393d94,CYC31165,Saltwell Park,54.9407,-1.6043,,,,Saltwell Park,,off Joicey Road,Gateshead,Gateshead,Tyne and Wear,NE9 5AX,gb,,,Gateshead,Saltwell Park,,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,In service,Published,0,25-09-2013 13:40,0000-00-00 00:00:00,N,,,Charge Your Car,,1.0,,1.0,,0.0,,,0.0,,,,,Other,,,,,,,,,,,,,,,,,54175.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6e4150c261d1fa9881f7f90ea71f0f23,CYC31166,Saltwell Park,54.9408,-1.6043,,,,Saltwell Park,,off Joicey Road,Gateshead,Gateshead,Tyne and Wear,NE9 5AX,gb,,,Gateshead,Saltwell Park,,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,In service,Published,0,25-09-2013 13:40,0000-00-00 00:00:00,N,,,Charge Your Car,,1.0,,1.0,,0.0,,,0.0,,,,,Other,,,,,,,,,,,,,,,,,54176.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555fd43204fd3f2413706c2d6cc8ee0a,CYC31182,Four Lane Ends Metro Station,55.010467,-1.578532,,,,Four Lane Ends Metro Station,,Benton Lane,Newcastle,,,NE12,gb,,,Newcastle,Four Lane Ends Metro Station,,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,In service,Published,0,25-09-2013 13:40,0000-00-00 00:00:00,N,,,Charge Your Car,,1.0,,1.0,,0.0,,,0.0,,,,,Other,,,,,,,,,,,,,,,,,54177.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f7692655e08cdfa2dc55b19495e34fd7,CYC31183,Blackhall Mill Community Centre,54.905493,-1.815635,,Blackhall Mill  Community Cent,,River View,Blackhall Mill,Blackhall Mill,Newcastle Upon Tyne,Gateshead,,NE17 7TQ,gb,,,Newcastle Upon Tyne,Blackhall Mill Community Centre,,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,In service,Published,0,25-09-2013 13:40,08-12-2019 11:35,Y,08-12-2019 11:35,NCR Admin,Charge Your Car,,1.0,,1.0,,0.0,,,1.0,Parking for employees and visitors only ,0.0,,1.0,Other,,,,,,,,,,,,,,,,,54178.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,54179.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,
d46df85d4497780af548c8c4a9e11270,CYC31187,Four Lane Ends Metro Station,55.010367,-1.578532,,,,Four Lane Ends Metro Station,,Benton Lane,Newcastle,,,NE12,gb,,,Newcastle,Four Lane Ends Metro Station,,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,In service,Published,0,25-09-2013 13:40,0000-00-00 00:00:00,N,,,Charge Your Car,,1.0,,1.0,,0.0,,,0.0,,,,,Other,,,,,,,,,,,,,,,,,54180.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1091c68ec533c36a2e255e3a2393a59,CYC31189,North Burns,54.859271,-1.576879,,,,North Burns,,,Chester Le Street,Chester-le-Street,County Durham,DH3 3TF,gb,,,Chester Le Street,North Burns,,,Durham County Council,http://www.durham.gov.uk/,03000 263985,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,In service,Published,0,25-09-2013 13:40,11-08-2019 19:45,Y,11-08-2019 19:45,NCR Admin,Charge Your Car,,1.0,,1.0,,0.0,,,0.0,,,,,Other,,,,,,,,,,,,,,,,,54181.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4285f654d1785debf268b92614923237,CYC31190,North Burns,54.859271,-1.56879,,,,North Burns,,,Chester Le Street,Chester-le-Street,County Durham,DH3 3TF,gb,,,Chester Le Street,North Burns,,,Durham County Council,http://www.durham.gov.uk/,03000 263985,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,In service,Published,0,25-09-2013 13:40,11-08-2019 19:45,Y,11-08-2019 19:45,NCR Admin,Charge Your Car,,1.0,,1.0,,0.0,,,0.0,,,,,Other,,,,,,,,,,,,,,,,,54182.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1474f1081f34c3e501e95ac5e9627e9,CYC31191,Grainger Town Car Park,54.969332,-1.622436,,,,Grainger Town Car Park,,Waterloo Street,Newcastle Upon Tyne,Newcastle upon Tyne,,NE1 4DP,gb,,,Newcastle Upon Tyne,Grainger Town Car Park,,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,In service,Published,0,25-09-2013 13:40,0000-00-00 00:00:00,N,,,Charge Your Car,,1.0,,1.0,,0.0,,,0.0,,,,,Other,,,,,,,,,,,,,,,,,54183.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91caf8baf768a5cc1a69f73a26e173dd,CYC31192,Grainger Town Car Park,54.969232,-1.622436,,,,Grainger Town Car Park,,Waterloo Street,Newcastle Upon Tyne,Newcastle upon Tyne,,NE1 4DP,gb,,,Newcastle Upon Tyne,Grainger Town Car Park,,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,In service,Published,0,25-09-2013 13:40,0000-00-00 00:00:00,N,,,Charge Your Car,,1.0,,1.0,,0.0,,,0.0,,,,,Other,,,,,,,,,,,,,,,,,54184.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9c3cfdc8a01e0b6d22a4cec0ab80440a,CYC31193,Grainger Town Car Park,54.969132,-1.622436,,,,Grainger Town Car Park,,Waterloo Street,Newcastle Upon Tyne,Newcastle upon Tyne,,NE1 4DP,gb,,,Newcastle Upon Tyne,Grainger Town Car Park,,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,In service,Published,0,25-09-2013 13:40,0000-00-00 00:00:00,N,,,Charge Your Car,,1.0,,1.0,,0.0,,,0.0,,,,,Other,,,,,,,,,,,,,,,,,54185.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
