chargeDeviceID,reference,name,latitude,longitude,subBuildingName,buildingName,buildingNumber,thoroughfare,street,doubleDependantLocality,dependantLocality,town,county,postcode,countryCode,uprn,deviceDescription,locationShortDescription,locationLongDescription,deviceManufacturer,deviceModel,deviceOwnerName,deviceOwnerWebsite,deviceOwnerTelephoneNo,deviceOwnerContactName,deviceControllerName,deviceControllerWebsite,deviceControllerTelephoneNo,deviceControllerContactName,deviceNetworks,chargeDeviceStatus,publishStatus,deviceValidated,dateCreated,dateUpdated,moderated,lastUpdated,lastUpdatedBy,attribution,dateDeleted,paymentRequired,paymentRequiredDetails,subscriptionRequired,subscriptionRequiredDetails,parkingFeesFlag,parkingFeesDetails,parkingFeesUrl,accessRestrictionFlag,accessRestrictionDetails,physicalRestrictionFlag,physicalRestrictionText,onStreetFlag,locationType,bearing,access24Hours,accessMondayFrom,accessMondayTo,accessTuesdayFrom,accessTuesdayTo,accessWednesdayFrom,accessWednesdayTo,accessThursdayFrom,accessThursdayTo,accessFridayFrom,accessFridayTo,accessSaturdayFrom,accessSaturdayTo,accessSundayFrom,accessSundayTo,connector1ID,connector1Type,connector1RatedOutputKW,connector1OutputCurrent,connector1RatedVoltage,connector1ChargeMethod,connector1ChargeMode,connector1TetheredCable,connector1Status,connector1Description,connector1Validated,connector2ID,connector2Type,connector2RatedOutputKW,connector2OutputCurrent,connector2RatedVoltage,connector2ChargeMethod,connector2ChargeMode,connector2TetheredCable,connector2Status,connector2Description,connector2Validated,connector3ID,connector3Type,connector3RatedOutputKW,connector3OutputCurrent,connector3RatedVoltage,connector3ChargeMethod,connector3ChargeMode,connector3TetheredCable,connector3Status,connector3Description,connector3Validated,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110
e3978ba7ecdecc63be5f5bf0281a0ed6,SC47,7 Towers Leisure Centre,54.8621,-6.2673,,Seven Towers Leisure Centre,,70A Trostan Avenue,,,,Ballymena,County Antrim,BT43 7BL,gb,,Seven Towers Leisure Centre,,,,,ecars ESB,https://www.esb.ie/ecars,00353 1258 3799,,ecars ESB,https://www.esb.ie/ecars,00353 1258 3799,,ecars ESB,In service,Published,0,01-03-2013 16:42,06-07-2021 11:00,Y,06-07-2021 12:00,EB Charging,ecars ESB,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,Leisure centre,,0.0,,,,,,,,,,,,,,,18632.0,Type 2 Mennekes (IEC62196),22.0,32.0,400.0,Three Phase AC,3.0,0.0,In service,,0.0,18633.0,Type 2 Mennekes (IEC62196),22.0,32.0,400.0,Three Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,
5aaffbae8a48fc24f114ee4dcd9c6171,SC153,"Fairhill Shopping Centre, Ballymena",54.869939,-6.27494,,Fairhill Shopping Centre,,,"Parkway, Ballymena BT43 6EF, UK",,,Ballymena,County Antrim,BT43 6UF,gb,,Car Park Fairhill Shopping Centre,Car Park Fairhill Shopping Centre,"Fairhill Shopping Centre, Fairhill Ln, Ballymena, Antrim",,,ecars ESB,https://www.esb.ie/ecars,00353 1258 3799,,ecars ESB,https://www.esb.ie/ecars,00353 1258 3799,,ecars ESB,Out of service,Published,0,01-03-2013 16:42,06-07-2021 11:00,Y,06-07-2021 12:00,EB Charging,ecars ESB,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,Retail car park,,0.0,,,,,,,,,,,,,,,18634.0,Type 2 Mennekes (IEC62196),22.0,32.0,400.0,Three Phase AC,3.0,0.0,Out of service,,0.0,18635.0,Type 2 Mennekes (IEC62196),22.0,32.0,400.0,Three Phase AC,3.0,0.0,Out of service,,0.0,,,,,,,,,,,,,,,,,,,
51fd081fb2f037078fc8a4e037daabe4,SC124,Ballygawley Park and Ride,54.456951,-7.033401,,Ballygawley Park and Ride,293,Annaghilla Road,,,,Dungannon,County Tyrone,BT70 2LT,gb,,Ballygawley Park and Ride,Ballygawley Park and Ride,"Ballygawley Park and Ride, Tullyvar Road, Dungannon",,,ecars ESB,https://www.esb.ie/ecars,00353 1258 3799,,ecars ESB,https://www.esb.ie/ecars,00353 1258 3799,,ecars ESB,In service,Published,0,01-03-2013 16:42,06-07-2021 11:00,Y,06-07-2021 12:00,EB Charging,ecars ESB,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,Park & Ride site,,0.0,,,,,,,,,,,,,,,18636.0,Type 2 Mennekes (IEC62196),22.0,32.0,400.0,Three Phase AC,3.0,0.0,In service,,0.0,18637.0,Type 2 Mennekes (IEC62196),22.0,32.0,400.0,Three Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,
0912d0f15f1394268c66639e39b26215,SC72,"Carpark, Cornmill, Coalisland",54.5399,-6.7,,,,B520,,,,Dungannon,County Tyrone,BT71 4LP,gb,,DRD Car Park Cornmill Coalisland,,"DRD Carpark (Free), Cornmill, Coalisland, Tyrone",,,ecars ESB,https://www.esb.ie/ecars,00353 1258 3799,,ecars ESB,https://www.esb.ie/ecars,00353 1258 3799,,ecars ESB,In service,Published,0,01-03-2013 16:42,06-07-2021 11:01,Y,06-07-2021 12:01,EB Charging,ecars ESB,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,Public car park,,0.0,,,,,,,,,,,,,,,18638.0,Type 2 Mennekes (IEC62196),22.0,32.0,400.0,Three Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c85b2ea9a678e74fdc8bafe5d0707c31,SC76,Car Park Scotch Street South,54.502841,-6.769526,,,,,"8-9 Scotch Street Centre, Dungannon, Dungannon and South Tyrone BT70 1AR, UK",,,Dungannon,County Tyrone,BT70 1BD,gb,,DRD Car Park Scotch Street South,DRD Car Park Scotch Street South,"DRD Car Park, Scotch Street South, Dungannon",,,ecars ESB,https://www.esb.ie/ecars,00353 1258 3799,,ecars ESB,https://www.esb.ie/ecars,00353 1258 3799,,ecars ESB,In service,Published,0,01-03-2013 16:42,06-07-2021 11:02,Y,06-07-2021 12:02,EB Charging,ecars ESB,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,Public car park,,,,,,,,,,,,,,,,,18640.0,Type 2 Mennekes (IEC62196),22.0,32.0,400.0,Three Phase AC,3.0,0.0,In service,,0.0,18641.0,Type 2 Mennekes (IEC62196),22.0,32.0,400.0,Three Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,
6ff05e7bfb82a4d50e29b052214a0c53,SC122,Oaks Shopping Centre Dungannon,54.512094,-6.763396,,Oak Shopping Centre,,Oaks Road,,,,Dungannon,County Tyrone,BT71 4NA,gb,,"Oak Shopping Centre, Dungannon","Oak Shopping Centre, Dungannon","Oaks Shopping Centre, Oaks Road, Dungannon",,,ecars ESB,https://www.esb.ie/ecars,00353 1258 3799,,ecars ESB,https://www.esb.ie/ecars,00353 1258 3799,,ecars ESB,In service,Published,0,01-03-2013 16:42,06-07-2021 11:02,Y,06-07-2021 12:02,EB Charging,ecars ESB,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,Retail car park,,0.0,,,,,,,,,,,,,,,18642.0,Type 2 Mennekes (IEC62196),22.0,32.0,400.0,Three Phase AC,3.0,0.0,In service,,0.0,18643.0,Type 2 Mennekes (IEC62196),22.0,32.0,400.0,Three Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,
66de6afdfb5fb3c21d0e3b5c3226bf00,SC55,"Slieve Donard Resort and Spa, Down?s Roa",54.216337,-5.883547,,Slieve Donard Resort and Spa,,Downs Road,,,,Newcastle,County Down,BT33 0AH,gb,,Slieve Donard Hotel,Slieve Donard Hotel,"Slieve Donard Resort and Spa, Downs Road, Newcastle, BT33 0AH, Down",,,ecars ESB,https://www.esb.ie/ecars,00353 1258 3799,,ecars ESB,https://www.esb.ie/ecars,00353 1258 3799,,ecars ESB,In service,Published,0,01-03-2013 16:42,06-07-2021 11:03,Y,06-07-2021 12:03,EB Charging,ecars ESB,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,Other,,0.0,,,,,,,,,,,,,,,18644.0,Type 2 Mennekes (IEC62196),22.0,32.0,400.0,Three Phase AC,3.0,0.0,In service,,0.0,18645.0,Type 2 Mennekes (IEC62196),22.0,32.0,400.0,Three Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,
0a9fdbb17feb6ccb7ec405cfb85222c4,SC91,"Ballee Road Park and Share, Ballymena",54.844648,-6.273606,,Ballee Road Park and Share,,Ballee Road,,,,Ballymena,County Antrim,BT42 2HD,gb,,"Ballee Road Park & Share
Seven Towers Roundabout
Ballymena",Ballee Road Park & Share,"Ballee Road Park and Share, Ballymena",,,ecars ESB,https://www.esb.ie/ecars,00353 1258 3799,,ecars ESB,https://www.esb.ie/ecars,00353 1258 3799,,ecars ESB,In service,Published,0,01-03-2013 16:42,06-07-2021 11:03,Y,06-07-2021 12:03,EB Charging,ecars ESB,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,Park & Ride site,,0.0,,,,,,,,,,,,,,,18646.0,Type 2 Mennekes (IEC62196),22.0,32.0,400.0,Three Phase AC,3.0,0.0,In service,,0.0,18647.0,Type 2 Mennekes (IEC62196),22.0,32.0,400.0,Three Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,
c47eedbcf5a800ee4216797e5665eb21,SC139,Carpark Kennedy Way,54.582112,-5.979061,,Kennedy Centre,577,Falls Road,,,,Belfast,County Antrim,BT11 9AB,gb,,Sainsbury's Car Park Kennedy Centre,Sainsbury's Car Park Kennedy Way,"Sainsbury's Car Park, 28 Kennedy Centre, Falls Rd, Belfast",,,ecars ESB,https://www.esb.ie/ecars,00353 1258 3799,,ecars ESB,https://www.esb.ie/ecars,00353 1258 3799,,ecars ESB,In service,Published,0,01-03-2013 16:42,06-07-2021 11:03,Y,06-07-2021 12:03,EB Charging,ecars ESB,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,Retail car park,,0.0,,,,,,,,,,,,,,,18648.0,Type 2 Mennekes (IEC62196),22.0,32.0,400.0,Three Phase AC,3.0,0.0,In service,,0.0,18649.0,Type 2 Mennekes (IEC62196),22.0,32.0,400.0,Three Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,
191f8f858acda435ae0daf994e2a72c2,SC84,Barbican Filling Station,54.2205,-5.8866,,Dundrum Road Filling Station,82,Dundrum Road,,,,Newcastle,County Down,BT33 0RJ,gb,,Dundrum Road Filling Station Newcastle,,"80-82 Dundrum Rd, Newcastle, Barbican Filling Station",,,ecars ESB,https://www.esb.ie/ecars,00353 1258 3799,,ecars ESB,https://www.esb.ie/ecars,00353 1258 3799,,ecars ESB,In service,Published,0,01-03-2013 16:42,06-07-2021 11:03,Y,06-07-2021 12:03,EB Charging,ecars ESB,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,Other,,0.0,,,,,,,,,,,,,,,18650.0,Type 2 Mennekes (IEC62196),22.0,32.0,400.0,Three Phase AC,3.0,0.0,In service,,0.0,18651.0,Type 2 Mennekes (IEC62196),22.0,32.0,400.0,Three Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,
